id;nome;data_nascimento;parentesco;status;created;modified
1;quantify;2023-11-01;open-source;Inativo;2023-11-01T20:36:45;2023-11-01T19:50:32
2;connecting Orchestrator;2023-11-01;generating;Ativo;2023-11-02T14:21:04;2023-11-02T13:50:11
3;Account Jogos hybrid;2023-11-02;group turquesa;Inativo;2023-11-01T21:32:39;2023-11-02T08:00:45
4;Janeiro Algodão PCI;2023-11-01;Genérico collaboration;Inativo;2023-11-02T08:36:20;2023-11-02T12:45:31
5;hierarchy Rufiyaa applications;2023-11-02;rosa generate;Ativo;2023-11-02T17:35:35;2023-11-02T06:13:38
6;integrate Camiseta;2023-11-02;Brinquedos;Ativo;2023-11-02T09:34:47;2023-11-02T17:51:39
7;Distributed support;2023-11-02;digital value-added bypassing;Bloqueado;2023-11-01T23:19:27;2023-11-01T20:30:11
8;SAS impactful;2023-11-01;Senegal;Inativo;2023-11-02T01:08:30;2023-11-02T12:46:30
9;XSS implement invoice;2023-11-01;bi-directional Yen;Ativo;2023-11-01T22:51:23;2023-11-02T01:01:27
10;Música;2023-11-02;Fresco Alameda;Ativo;2023-11-02T03:30:23;2023-11-02T02:51:32
